Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016],2018 [YR2018]
Bahrain,BHR,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.4,3.05303,2.666667,3.29,3.141082,2.669956
Bahrain,BHR,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,84,39,60,119,51,68
Bahrain,BHR,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3,3.850859,3.416667,2.8,3.583449,3.285448
Bahrain,BHR,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,36,32,48,52,44,59
Bahrain,BHR,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,26,33,20,31,48
Bahrain,BHR,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,40,82,124,53,76
Bahrain,BHR,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.15226516289702,3.372838,3.053371,3.083116,3.314021,2.934817
Bahrain,BHR,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.216619,2.738158,2.454072,3.114276,2.746803
Bahrain,BHR,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.529058,3.368585,3.71216,3.513765,3.122831
Bahrain,BHR,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1016.80529521273,190.87148878664,158.283767783472,194.761460882053,202.756286351664,203.973054034252
Bahrain,BHR,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,27,30,43,49,48,68
Bahrain,BHR,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.4,3.356061,3.083333,3.04,3.095094,2.72488
Belgium,BEL,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,15,2,8,4,4,9
Belgium,BEL,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.95918,4.220613,4.049376,4.112492,4.224394,4.051289
Belgium,BEL,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,10,5,8,4,6,2
Belgium,BEL,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.94949,4.131997,3.983719,4.111112,4.070602,4.130972
Belgium,BEL,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,17,26,6,2,3,1
Belgium,BEL,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.65094,3.311276,3.732367,3.797858,4.050997,3.994913
Belgium,BEL,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,16,9,7,11,13,14
Belgium,BEL,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.61261,3.828598,3.846733,3.801493,3.829699,3.663064
Belgium,BEL,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,10,12,9,2,4,1
Belgium,BEL,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,4.25301,4.28817,4.197801,4.390126,4.426187,4.410293
Belgium,BEL,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,12,9,7,3,6,3
Belgium,BEL,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,5,3,1,5,2
Belgium,BEL,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,14,13,6,9,12
Belgium,BEL,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.89376360111722,3.942263,3.980262,4.04466,4.108538,4.039084
Belgium,BEL,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.861651,3.84972,3.960121,4.03781,3.919175
Belgium,BEL,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,4.022875,4.110803,4.129199,4.179265,4.158993
Belgium,BEL,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1367.11507644777,236.676131793172,229.733008960341,284.661262017646,272.37247236003,320.387532746833
Belgium,BEL,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,11,12,8,8,14,14
Belgium,BEL,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,4,4.009625,4.116557,4.098801,4.053557,3.984249
Brazil,BRA,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,65,36,33,62,45,51
Brazil,BRA,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.76923,3.417413,3.417529,3.027022,3.280197,3.111438
Brazil,BRA,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,49,34,41,50,50,46
Brazil,BRA,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.93939,3.295608,3.118297,3.050503,3.122646,3.090163
Brazil,BRA,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,75,65,41,81,72,61
Brazil,BRA,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.6087,2.910093,3.12165,2.80475,2.898932,2.881091
Brazil,BRA,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,74,82,78,94,62,102
Brazil,BRA,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.38571,2.369843,2.509927,2.481013,2.757184,2.406162
Brazil,BRA,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,71,20,49,61,66,51
Brazil,BRA,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.10169,4.137099,3.552235,3.387455,3.391947,3.510178
Brazil,BRA,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,61,41,45,65,55,56
Brazil,BRA,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,35,35,56,49,48
Brazil,BRA,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,47,52,70,62,64
Brazil,BRA,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.75064898032314,3.198242,3.13114,2.943951,3.087984,2.98579
Brazil,BRA,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.102433,3.017854,2.8423,2.985663,2.846858
Brazil,BRA,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.294052,3.244425,3.045601,3.190305,3.124723
Brazil,BRA,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,827.067772102625,176.826957109302,164.278578432279,181.750193768915,182.95075187377,209.346750090927
Brazil,BRA,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,49,37,46,54,47,50
Brazil,BRA,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.74648,3.09774,3.066024,2.927419,3.110258,2.926983
Canada,CAN,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,11,15,14,8,9,21
Canada,CAN,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.97778,4.005055,3.856377,3.968199,4.100897,3.809804
Canada,CAN,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,12,8,13,10,15,14
Canada,CAN,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.85393,3.993496,3.845956,3.940668,3.897193,3.89804
Canada,CAN,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,8,32,18,23,29,30
Canada,CAN,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.77895,3.243744,3.54658,3.464442,3.558343,3.381662
Canada,CAN,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,9,13,17,20,6,18
Canada,CAN,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.81818,3.706367,3.578957,3.608017,3.952071,3.60393
Canada,CAN,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,13,5,3,11,25,22
Canada,CAN,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,4.18824,4.40783,4.305873,4.177313,4.009393,3.960503
Canada,CAN,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,10,14,14,12,14,20
Canada,CAN,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,7,8,9,10,14
Canada,CAN,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,18,17,17,16,27
Canada,CAN,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.92192594637433,3.874453,3.846479,3.855498,3.930707,3.726715
Canada,CAN,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.781499,3.757347,3.765671,3.829715,3.560903
Canada,CAN,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.967406,3.935611,3.945324,4.0317,3.892527
Canada,CAN,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1380.4199527598,231.22148396023,219.420368280515,266.975512657855,256.790784398597,287.456842704506
Canada,CAN,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,12,11,12,10,9,21
Canada,CAN,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.94898,4.027057,3.989496,4.054256,4.141614,3.750496
Chile,CHL,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,37,40,41,40,34,44
Chile,CHL,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.17021,3.328481,3.224074,3.302573,3.504531,3.203612
Chile,CHL,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,35,48,46,44,56,43
Chile,CHL,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.1875,2.942998,3.004337,3.194292,2.972946,3.125072
Chile,CHL,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,34,94,44,53,43,38
Chile,CHL,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.21154,2.740741,3.060968,3.12169,3.295692,3.271893
Chile,CHL,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,24,41,35,39,35,32
Chile,CHL,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,3.32075,2.932679,3.109217,3.172736,3.190476,3.274026
Chile,CHL,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,44,44,54,44,44,31
Chile,CHL,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.54762,3.796216,3.473585,3.591146,3.711495,3.797014
Chile,CHL,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,32,49,39,42,46,34
Chile,CHL,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,38,33,38,31,31
Chile,CHL,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,55,55,50,58,41
Chile,CHL,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.25036966116368,3.094723,3.173874,3.255786,3.248442,3.317145
Chile,CHL,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,2.948584,2.985217,3.123632,3.001586,3.207844
Chile,CHL,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.240862,3.36253,3.38794,3.495297,3.426447
Chile,CHL,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1063.15328942895,168.49987129573,167.572721834742,210.905286502184,197.010204314096,244.278989842552
Chile,CHL,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,34,50,37,41,63,34
Chile,CHL,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.0566,2.855756,3.181308,3.172441,2.771319,3.209678
Colombia,COL,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,71,82,85,108,96,53
Colombia,COL,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,2.62857,2.753839,2.658741,2.54872,2.55337,3.084774
Colombia,COL,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,86,61,52,91,81,56
Colombia,COL,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,2.44444,2.746935,2.946826,2.640476,2.672612,2.866024
Colombia,COL,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,74,112,78,95,103,46
Colombia,COL,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,2.61111,2.540532,2.759784,2.717677,2.550313,3.194444
Colombia,COL,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,116,66,64,79,129,75
Colombia,COL,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.10256,2.499271,2.647184,2.587416,2.207971,2.612357
Colombia,COL,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,87,64,57,111,78,81
Colombia,COL,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,2.93939,3.516042,3.451564,2.87381,3.231435,3.17097
Colombia,COL,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,82,72,64,97,94,58
Colombia,COL,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,56,46,72,74,49
Colombia,COL,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,94,87,125,113,74
Colombia,COL,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,2.49728276045895,2.774487,2.869333,2.639637,2.612351,2.9416
Colombia,COL,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,2.601044,2.655517,2.446349,2.43164,2.771627
Colombia,COL,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,2.947931,3.083148,2.832926,2.793062,3.111572
Colombia,COL,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,707.368713442414,142.74003346311,144.097228645959,153.298278845857,141.275425354996,204.688134181632
Colombia,COL,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,85,62,68,98,95,72
Colombia,COL,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,2.28205,2.592767,2.724782,2.442362,2.429151,2.666667
China,CHN,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,31,30,31,29,28,27
China,CHN,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,3.37453,3.55305,3.515504,3.503259,3.676702,3.648469
China,CHN,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,27,29,28,35,27,27
China,CHN,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,3.4,3.491444,3.471617,3.460197,3.620071,3.594975
China,CHN,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,28,27,23,22,12,18
China,CHN,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,3.31273,3.310056,3.462837,3.503218,3.704961,3.535715
China,CHN,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,35,32,30,38,31,31
China,CHN,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,2.99296,3.162482,3.254533,3.205138,3.318883,3.285924
China,CHN,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,36,36,30,36,31,27
China,CHN,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,3.67729,3.914685,3.796915,3.866815,3.896284,3.840015
China,CHN,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,30,27,26,28,27,26
China,CHN,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,26,25,26,25,23
China,CHN,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,28,29,32,29,27
China,CHN,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,3.32193500331896,3.489039,3.517017,3.531463,3.661104,3.605147
China,CHN,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,3.445699,3.455954,3.477121,3.609465,3.547488
China,CHN,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.532379,3.578081,3.585805,3.712744,3.662806
China,CHN,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,1096.96325862403,200.21871681843,194.023843881622,236.679777817877,233.167963746033,274.640852234691
China,CHN,"Quality- of trade and transport-related infrastructure, rank (1=highest performer)",LP.LPI.INFR.RK,30,27,26,23,23,20
China,CHN,"Quality of trade- and transport-related infrastructure, score (1=low to 5=high)",LP.LPI.INFR.XQ,3.20285,3.539999,3.613997,3.669272,3.752359,3.753218
"Congo, Dem. Rep.",COD,"Ability to track and trace consignments, rank (1=highest performer)",LP.LPI.TRAC.RK,..,119,124,151,118,114
"Congo, Dem. Rep.",COD,"Ability to track and trace consignments, score (1=low to 5=high)",LP.LPI.TRAC.XQ,..,2.434524,2.35262,2.104412,2.369828,2.508333
"Congo, Dem. Rep.",COD,"Competence and quality of logistics services, rank (1=highest performer)",LP.LPI.LOGS.RK,..,49,138,158,123,100
"Congo, Dem. Rep.",COD,"Competence and quality of logistics services, score (1=low to 5=high)",LP.LPI.LOGS.XQ,..,2.934524,2.171679,1.837745,2.333415,2.493663
"Congo, Dem. Rep.",COD,"Ease of arranging competitively priced international shipments, rank (1=highest performer)",LP.LPI.ITRN.RK,..,109,140,160,135,127
"Congo, Dem. Rep.",COD,"Ease of arranging competitively priced international shipments, score (1=low to 5=high)",LP.LPI.ITRN.XQ,..,2.560516,2.234858,1.704951,2.329195,2.366204
"Congo, Dem. Rep.",COD,"Efficiency of the clearance process, rank (1=highest performer)",LP.LPI.CUST.RK,..,59,133,158,123,108
"Congo, Dem. Rep.",COD,"Efficiency of the clearance process, score (1=low to 5=high)",LP.LPI.CUST.XQ,..,2.599802,2.100339,1.77743,2.223113,2.369953
"Congo, Dem. Rep.",COD,"Frequency with which shipments reach consignee within scheduled or expected time, rank (1=highest performer)",LP.LPI.TIME.RK,..,94,149,159,102,133
"Congo, Dem. Rep.",COD,"Frequency with which shipments reach consignee within scheduled or expected time, score (1=low to 5=high)",LP.LPI.TIME.XQ,..,3.199801,2.381492,2.037745,2.943389,2.686857
"Congo, Dem. Rep.",COD,Logistics performance index: Overall rank (1=highest performance),LP.LPI.OVRL.RK,..,85,143,159,127,120
"Congo, Dem. Rep.",COD,"Logistics performance index: Overall rank (1=highest performance), lower bound",LP.LPI.OVRL.RK.LB,..,43,127,154,111,104
"Congo, Dem. Rep.",COD,"Logistics performance index: Overall rank (1=highest performance), upper bound",LP.LPI.OVRL.RK.UB,..,147,153,160,136,138
"Congo, Dem. Rep.",COD,Logistics performance index: Overall score (1=low to 5=high),LP.LPI.OVRL.XQ,..,2.675772,2.205073,1.878857,2.375762,2.428379
"Congo, Dem. Rep.",COD,"Logistics performance index: Overall score (1=low to 5=high), lower bound",LP.LPI.OVRL.XQ.LB,..,2.18964,2.008671,1.60314,2.268134,2.283902
"Congo, Dem. Rep.",COD,"Logistics performance index: Overall score (1=low to 5=high), upper bound",LP.LPI.OVRL.XQ.UB,..,3.161904,2.401475,2.154574,2.483391,2.572856
"Congo, Dem. Rep.",COD,Logistics performance index: Percent of highest performer),LP.LPI.OVRL.RK.ZS,..,134.799382219505,92.8928551606756,82.1689590144852,120.54531658258,150.583144012271
